1,0.014119934577849363
b2,0.007521261646043914
2,0.0068753743258254925
b3,0.023978500192961535
3,0.005487645506302414
4,0.01632063463383014
b5,0.006199512131488789
5,0.01444126242027873
b6,0.030681703232526777
6,0.0074765244161216615
b7,0.0320419899474093
7,0.005963198704644358
1m,0.02858551464810495
b2m,0.003080023711539778
2m,0.005396236452878697
b3m,0.0020129061057739817
3m,0.002761310717333214
4m,0.013439867009777635
b5m,0.0021244995837704844
5m,0.009561855959321441
b6m,0.002456607034648509
6m,0.003930926765427892
b7m,0.004153243156741
7m,0.003967934137282252
