1,0.16353385600659287
b2,0.026815455322521324
2,0.04298280260400293
b3,0.04657256730361263
3,0.03369719803294779
4,0.13448912595939166
b5,0.030672829886956823
5,0.13322790944494486
b6,0.05067165549930096
6,0.030773249600720504
b7,0.06286442062440799
7,0.03024893091222119
1m,0.03475381783284016
b2m,0.00744073779512333
2m,0.03086067230279788
b3m,0.007132922696783897
3m,0.022321457005459965
4m,0.019568612651976142
b5m,0.006015774147791995
5m,0.01868442627304829
b6m,0.008918740759386545
6m,0.03859053342767088
b7m,0.009148186377677002
7m,0.010014117531820818
